Node,Betweenness
마인이스_차란,0.25880922888843894
테사_테사,0.01475344340873981
인프랩_인프런,0.014550856873382556
닥터다이어리_닥터다이어리,0.012620312641748552
드림어스컴퍼니_FLO,0.012522413435913501
티오더,0.012113196870326944
브레인커머스_잡플래닛,0.011180354183784795
그레이드헬스체인_로그,0.010158180433317957
와이어드컴퍼니_케미,0.010038006097309253
인플루디오_포카마켓,0.009260562149220245
룩코_에이클로젯,0.008607746450291975
카카오스타일_지그재그,0.008607746450291975
엑스와이지,0.008467549898949303
어웨이크코퍼레이션_초원인,0.007446036707524781
쿠캣_쿠캣,0.007342463634382016
코리아포트원_포트원,0.007102949032309864
버킷플레이스_오늘의집,0.006878920743496426
쏘카_쏘카,0.006577959305702945
오니스트_오니스트,0.006216136023250254
넛지헬스케어_캐시워크,0.006134612404941854
빌리지베이비_베이비빌리,0.0060519254237738655
마크비전코리아,0.006037217945510942
가제트코리아_유심사,0.006037217945510942
퍼블리_퍼블리,0.00603599310465679
킥더허들_피토틱스,0.005906370066671441
스카이랩스_스카이랩스,0.005906370066671441
모아이스_골프픽스,0.005881827253572191
비프로컴퍼니_비프로11,0.005720485170762264
보이저엑스_브루,0.005720485170762264
패스트뷰_뷰어스,0.005566832270481506
아들러_아들러,0.005387620648750069
아파트너_아파트너,0.005368637506414923
위버케어_메디패스,0.0052925672172376885
타인에이아이_오르락,0.004883819311856225
파스토_파스토,0.004808111386423048
에이젠글로벌_에이젠글로벌,0.0045507059165009415
번개장터_번개장터,0.004318712383340434
플랭_플랭,0.004254925584025789
퀄슨_리얼클래스,0.004254925584025789
뤼튼테크놀로지스_뤼튼,0.004254925584025789
루센트블록_소유,0.004159635087846957
데이터노우즈_리치고,0.004159635087846957
마이프랜차이즈_마이프차,0.004087014892130198
로앤컴퍼니_로톡,0.004087014892130198
로쉬코리아_오뉴,0.003978559081872473
블루시그넘_하루콩,0.003978559081872473
아키드로우_아키스케치,0.0039545755370563275
한국공간데이터_클리니어,0.0039545755370563275
센드버드코리아_센드버드,0.003906418469029971
누비랩,0.00370102656971825
루닛_루닛 인사이트 CXR,0.0036589385587646895
에아아이트릭스,0.0036589385587646895
뉴로핏,0.0036589385587646895
비바이노베이션_착한의사,0.0036589385587646895
카카오브이엑스_카카오골프예약,0.0036589385587646895
필라이즈_필라이즈,0.0036589385587646895
비마이프렌즈_비스테이지,0.003489082328781073
마플코퍼레이션_마플샵,0.003489082328781073
그립컴퍼니_그립,0.003489082328781073
어댑트_푸드올로지,0.003489082328781073
