Node,Clustering
마인딩_마이루틴,1.0
큐피스트_글램,1.0
한패스_한패스,1.0
올거나이즈코리아_엘리,1.0
모레,1.0
프렌트립_프립,1.0
바로팜_바로팜,1.0
지엔터프라이즈_비즈넵,1.0
쿼타랩_쿼타북,1.0
피클플러스_피클플러스,1.0
스페이스브이_삼삼엠투,1.0
노머스_원더월,1.0
페르소나에이아이_봇톡스,1.0
하이퍼커넥트_아자르,1.0
쉐어잇_쉐어잇,1.0
띵스플로우_헬로우봇,1.0
티맵모빌리티_티맵,1.0
마카롱팩토리_마이클,1.0
스마트푸드네트웍스_차별화상회,1.0
인터콘시스템스_,1.0
세컨신드롬_미니창고다락,1.0
누트컴퍼니_위버딩,1.0
팀스파르타_스파르타코딩클럽,1.0
애즈위메이크_큐마켓,1.0
비즈니스캔버스_타입드,1.0
두나무_업비트,1.0
벙커키즈_마이쉽단,1.0
생활연구소_청소연구소,1.0
토스페이먼츠_토스비즈니스,1.0
직방_직방,1.0
버즈빌_버즈빌,1.0
지바이크_지쿠,1.0
센디_센디,1.0
랜식_글루코핏,1.0
케어닥_케어닥,1.0
글라우드_저스트스캔,1.0
더슬립팩토리_파사,1.0
스칼라데이터_모두의충전,1.0
클로봇,1.0
밸류맵_밸류맵,1.0
르보아르테_롸버트치킨,1.0
오케스트로_심포니 인공지능,1.0
원프레딕트_원프레딕트,1.0
자란다_자란다부모님용,1.0
천명앤컴퍼니_천명,1.0
토스뱅크_토스뱅크,1.0
오피지지_OP.GG,1.0
와그_와그,1.0
카카오헬스케어_파스타,1.0
굿닥_굿닥,1.0
메이크스타_메이크스타,1.0
중고나라_중고나라,1.0
한국시니어연구소_한국시니어연구소,1.0
비브로스_뚝닥,1.0
홀릭스팩토리_홀릭스,1.0
몰로코_몰로코,1.0
포스타입_포스타입,1.0
딥브레인에이아이_스픽나우,1.0
놀이의발견_놀이의발견,1.0
에이비일팔공,1.0
패스트파이브_패스트파이브,1.0
케어네이션_케어네이션,1.0
모드하우스_모드하우스,1.0
하이브,1.0
커피챗_커피챗,1.0
모인_모인,1.0
웨이커_웨이커,1.0
오픈플랜_토글,1.0
프렌들리에이아이_페리플로우,1.0
튜닙,1.0
밀리의서재_밀리의서재,1.0
타임앤코_롱블랙,1.0
오누이_설탭,1.0
테크랩스_점신,1.0
어반베이스_어반베이스,1.0
위허들링_위잇딜라이트,1.0
센트비_센트비,1.0
원티드랩_원티드,1.0
엔라이즈_위피,1.0
스펙터_스펙터,1.0
포티투닷_탭,1.0
노타_노타키보드,1.0
고퀄_헤이홈,1.0
트립비토즈_트립비토즈,1.0
링글잉글리시에듀케이션서비스_링글,1.0
레진엔터테인먼트_레진코믹스,1.0
부릉_부릉프렌즈,1.0
샤플앤컴퍼니_샤플,1.0
룰루메딕_룰루메딕,1.0
닥터나우_닥터나우,1.0
뉴빌리티_뉴비,1.0
아이헤이트플라잉버그스_밀당PT,1.0
와드_캐치테이블,1.0
키노라이츠_키노라이츠,1.0
여기어때_여기어떄,1.0
야놀자_야놀자,1.0
트래블월렛_트래블월렛,1.0
드라마앤컴퍼니_리멤버,1.0
뱅크샐러드_뱅크샐러드,1.0
스페이스오디티_케이팝레이더,1.0
더스윙_스윙,1.0
문토_문토,1.0
트레바리_트레바리,1.0
