,기업명,누적투자금액,매출,고용인원,카테고리,키워드,설립년도
0,뤼튼테크놀로지스_뤼튼,62.6667,0.5,93,"콘텐츠/예술, 교육, AI/딥테크/블록체인","콘텐츠/예술,교육,AI,",3
1,업스테이지_아숙업,354.0,14.75,135,"통신/보안/데이터, AI/딥테크/블록체인","커머스, 푸드/농업, 이커머스, 리뷰, 신선식품, 가공식품, 생활용품/소품, 플랫폼/마켓플레이스, 상품판매/브랜드/하드웨어, WEB, 리워드",4
2,버킷플레이스_오늘의집,318.0,186.41,660,"커머스, 소셜미디어/커뮤니티, 홈리빙/펫","AI/딥테크/블록체인, 통신/보안/데이터, 최근투자받은추천채용기업, 프로그래밍개발, 인공지능, B2B, SaaS/엔터프라이즈, 소프트웨어, 생성형AI",10
3,두잇_두잇,13.0,4.25,49,"물류, 푸드/농업","홈리빙/펫, 커머스, 소셜미디어/커뮤니티, K-유니콘, 인테리어, B2B, B2C, APP, WEB, 가구, 생활용품/소품, 이커머스, 커뮤니티, 플랫폼/마켓플레이스, 거래수수료, 콘텐츠, 검색/검색엔진, 코로나",2
4,김캐디_김캐디,20.1,2.9,30,여행/레저,"피트니스/스포츠, 여행/레저, 골프, 레저/액티비티, B2C, 플랫폼/마켓플레이스, APP, WEB, O2O",5
5,마인이스_차란,76.8,167.95,47,", 피트니스/스포츠","커머스, 패션, 어워즈1차후보, 팁스(TIPS)2022, 중고, 의류, 패션잡화, 중고패션, 패션테크, B2C, 플랫폼/마켓플레이스, APP, 중고거래/중고명품, 리셀",2
6,해녀의부엌_해녀의 부엌,0.2,3.2,14,"커머스, 패션","푸드/농업, 콘텐츠/예술, 여성창업, 수산업, 신선식품, 가공식품, 한류/K-pop, 공연, B2C, 플랫폼/마켓플레이스, 상품판매/브랜드/하드웨어, WEB, 상품/하드웨어, 식당예약, 콘텐츠, 오프라인매장, 한류/K-POP/K-Contents",5
7,스마트스코어_스마트스코어,304.5,193.75,307,피트니스/스포츠,"피트니스/스포츠, 예비유니콘, 골프, APP, WEB, 플랫폼/마켓플레이스, 데이터/API, 비대면/무인시스템/Untact, O2O, B2C",10
8,의식주컴퍼니_런드리고,204.1667,61.6167,576,홈리빙/펫,"홈리빙/펫, 아기유니콘, 세탁, B2C, 플랫폼/마켓플레이스, APP, 비대면/무인시스템/Untact",6
9,채널코퍼레이션_채널톡,42.32,12.99,163,"광고/마케팅, 인사/비즈니스/법률","광고/마케팅, 인사/비즈니스/법률, 예비유니콘, 마케팅솔루션, 협업률/생산성, B2B, 스타트업/창업자, SaaS/엔터프라이즈, 구독, WEB, 소프트웨어, 구독경제, 챗봇, 생성형AI",10
10,모아이스_골프픽스,5.0,0.76,29,"AI/딥테크/블록체인, 피트니스/스포츠, 여행/레저","AI/딥테크/블록체인, 피트니스/스포츠, 여행/레저, 어워즈1차후보, 2022혁신의숲어워즈, 스포츠/운동, 골프, 취미교육, 레저/액티비티, 인공지능, 딥러닝/머신러닝, 비전센싱/영상인식/센서, B2C, 플랫폼/마켓플레이스, SaaS/엔터프라이즈, APP, O2O, 비대면/무인시스템/Untact, 에듀테크",5
11,라포테이블_팔도감,35.0,4.0,35,"커머스, 푸드/농업","커머스, 푸드/농업, 어워즈1차후보, 이커머스, 유통, 반찬, 신선식품, 농업, 축산업, 수산업, B2C, 시니어/실버, 플랫폼/마켓플레이스, APP, WEB, 상품/하드웨어, O2O",2
12,에이블리코퍼레이션_에이블리,247.7778,198.3111,299,"커머스, 패션","패션, 커머스, 예비유니콘, 의류, 신발, 패션잡화, 쥬얼리, 이커머스, 리뷰, B2C, 플랫폼/마켓플레이스, 상품판매/브랜드/하드웨어, APP, 인공지능, 빅데이터",9
13,보이저엑스_브루,42.8571,0.4714,68,"AI/딥테크/블록체인, 콘텐츠/예술, 통신/보안/데이터","AI/딥테크/블록체인, 콘텐츠/예술, 통신/보안/데이터, 영상/비디오, 사진, 프로그래밍개발, 인공지능, B2C, SaaS/엔터프라이즈, APP, WEB, 소프트웨어, 콘텐츠, 생성형AI",7
14,비바리퍼블리카_토스,1272.7273,1000.0,942,"금융/보험/핀테크, 통신/보안/데이터","금융/보험/핀테크, 통신/보안/데이터, K-유니콘, 결제/페이먼트, 보험/인슈어테크, 주식/증권, 은행, B2B, B2C, 거래수수료, APP",11
15,플렉스_플렉스,96.0,16.02,182,"인사/비즈니스/법률, 통신/보안/데이터","인사/비즈니스/법률, 통신/보안/데이터, 조직관리/조직문화, 인사솔루션, 전자계약, 회계, 경리/경영관리, 클라우드, 프로그래밍개발, B2B, SaaS/엔터프라이즈, 구독, 용역, 소프트웨어, 비대면/무인시스템/Untact",5
16,고이장례연구소_고이,9.6667,0.8333,18,기타,"기타, 팁스(TIPS)2023, B2C, 용역, 교육/컨설팅/용역, 기타서비스, 장례",3
17,무신사_무신사,466.6667,590.2833,1555,"커머스, 패션","패션, 커머스, K-유니콘, 이커머스, 유통, 커뮤니티, 의류, 신발, 패션잡화, 쥬얼리, 명품/중고명품, B2C, 플랫폼/마켓플레이스, 상품판매/브랜드/하드웨어, APP, WEB, 상품/하드웨어, O2O, 오프라인매장",12
18,백패커_아이디어스(idus),55.4167,45.6,176,"커머스, 푸드/농업, 홈리빙/펫","커머스, 푸드/농업, 홈리빙/펫, 예비유니콘, 이커머스, 반찬, 디저트, 가공식품, 생활용품/소품, 문구, B2C, 플랫폼/마켓플레이스, 거래수수료, APP, WEB, 상품/하드웨어, 교육/컨설팅/용역, O2O",12
19,워시스왓_세탁특공대,22.7778,29.1778,301,홈리빙/펫,"홈리빙/펫, 세탁, 스마트팩토리, B2B, 플랫폼/마켓플레이스, B2C, APP, WEB, O2O",9
20,힐링페이퍼_강남언니,19.4167,20.4083,115,헬스케어/바이오,"헬스케어/바이오, 예비유니콘, 커뮤니티, 병원정보, B2C, 플랫폼/마켓플레이스, APP, WEB",12
21,컬리_컬리,1111.1111,2222.2222,2668,"커머스, 물류, 푸드/농업","물류, 커머스, 푸드/농업, K-유니콘, 예비유니콘, 이커머스, 라스트마일, 신선식품, B2C, 플랫폼/마켓플레이스, 상품판매/브랜드/하드웨어, APP, WEB, 상품/하드웨어, 비대면/무인시스템/Untact, 여성창업",9
22,티오더,87.5,43.92,269,"커머스, 광고/마케팅, 인사/비즈니스/법률","광고/마케팅, 인사/비즈니스/법률, 커머스, 아기유니콘, 예비유니콘, 스마트오더, 소상공인, 빅데이터, B2B, SaaS/엔터프라이즈, 소프트웨어, 비대면/무인시스템/Untact",5
23,매스프레소_콴다,169.7222,8.4111,144,"교육, AI/딥테크/블록체인","교육, AI/딥테크/블록체인, 예비유니콘, 수학, APP, WEB, 에듀테크, B2C, 플랫폼/마켓플레이스, 콘텐츠, 인공지능, 딥러닝/머신러닝, 검색/검색엔진, O2O, 비대면/무인시스템/Untact",9
24,아우름플래닛_라이너,13.9583,0.2917,34,"통신/보안/데이터, AI/딥테크/블록체인","AI/딥테크/블록체인, 통신/보안/데이터, 인터넷기술, 모바일기술, 프로그래밍개발, 검색/검색엔진, B2B, B2C, 상품판매/브랜드/하드웨어, APP, 생성형AI",12
25,모노리스_9.81파크,102.1429,20.9143,80,"여행/레저, 제조/하드웨어","여행/레저, 제조/하드웨어, 레저/액티비티, 인공지능, B2C, 렌탈/대여, 공간, 오프라인매장, 비대면/무인시스템/Untact",7
26,와이즐리컴퍼니_와이즐리,31.1429,27.3,43,"커머스, 뷰티/화장품","뷰티/화장품, 커머스, 이커머스, 정기구독, 구독경제, 구독, 미용기기, B2C, 플랫폼/마켓플레이스, WEB, 상품/하드웨어",7
27,우아한형제들_배달의민족,361.6429,2071.4286,2201,"커머스, 물류, 푸드/농업","물류, 커머스, 푸드/농업, K-유니콘(졸업), 이커머스, 리뷰, 라스트마일, 배달, 검색/검색엔진, B2B, B2C, 플랫폼/마켓플레이스, 광고, 거래수수료, APP, O2O, 코로나",14
28,블래스트,22.0,3.75,52,"콘텐츠/예술, AI/딥테크/블록체인","콘텐츠/예술, AI/딥테크/블록체인, 애니메이션, 디자인, 미디어, 영상/미디어, 한류/K-pop, VR/AR, B2B, 상품판매/브랜드/하드웨어, 콘텐츠, 한류/K-POP/K-Contents",2
29,페이타랩_패스오더,22.8333,1.7667,73,푸드/농업,"푸드/농업, 스마트오더, 소상공인, B2B, B2C, SaaS/엔터프라이즈, 거래수수료, 소프트웨어, 오프라인매장",6
30,화이트큐브_챌린저스,10.0,6.4833,21,소셜미디어/커뮤니티,"소셜미디어/커뮤니티, 커뮤니티, B2B, B2C, 광고, APP, 콘텐츠, O2O",6
31,브레이브모바일_숨고,49.6,31.38,123,"소셜미디어/커뮤니티, 인사/비즈니스/법률","인사/비즈니스/법률, 소셜미디어/커뮤니티, 재능공유, B2B, B2C, APP, WEB, 아웃소싱, 커뮤니티, 플랫폼/마켓플레이스, 거래수수료, 교육/컨설팅/용역, 공유경제/긱이코노미, 인테리어, 리모델링, 가사노동",10
32,뱅크샐러드_뱅크샐러드,165.6667,3.6417,118,금융/보험/핀테크,"금융/보험/핀테크, 예비유니콘, 자산관리, 송금, B2C, SaaS/엔터프라이즈, APP, 교육/컨설팅/용역",12
33,쿠팡_쿠팡,8454.5455,23909.0909,10000,커머스,"커머스, K-유니콘(졸업), 이커머스, 직구/역직구, B2C, 플랫폼/마켓플레이스, APP, WEB, O2O",11
34,닥터나우_닥터나우,104.38,5.28,46,헬스케어/바이오,"헬스케어/바이오, 바이오/의료, 원격진료, 병원진료, B2B, B2C, 플랫폼/마켓플레이스, 상품판매/브랜드/하드웨어, 거래수수료, APP, O2O, 비대면/무인시스템/Untact",5
35,인티그레이션_메디스트림,77.2,24.7,107,"소셜미디어/커뮤니티, 헬스케어/바이오","소셜미디어/커뮤니티, 헬스케어/바이오, 최근투자받은추천채용기업, SNS, 커뮤니티, B2C, APP, WEB",5
36,마이플레이컴퍼니_플랫풋볼,4.1875,10.6625,40,"소셜미디어/커뮤니티, 피트니스/스포츠","피트니스/스포츠, 소셜미디어/커뮤니티, 어워즈1차후보, 스포츠/운동, 플랫폼/마켓플레이스, 렌탈/대여, 공간, 공유경제/긱이코노미, O2O, B2C, WEB",8
37,아이헤이트플라잉버그스_밀당PT,52.925,10.9583,527,교육,"교육, 예비유니콘, 영어, APP, WEB, 에듀테크, 청소년교육, B2C, 구독, 교육/컨설팅/용역, 인공지능, 비대면/무인시스템/Untact",12
38,메디테라피_메디테라피,37.1429,57.9857,95,"커머스, 뷰티/화장품","뷰티/화장품, 커머스, 최근투자받은추천채용기업, 이커머스, 스킨케어/클렌징, 헤어/바디, B2C, 상품판매/브랜드/하드웨어, WEB, 상품/하드웨어",7
39,와드_캐치테이블,90.525,2.5375,186,푸드/농업,"푸드/농업, 식당예약, 맛집정보/리뷰, B2B, B2C, 플랫폼/마켓플레이스, APP, 소프트웨어",8
40,야놀자_야놀자,1352.9412,214.0882,907,여행/레저,"여행/레저, K-유니콘, 숙박, B2B, B2C, APP, WEB, 레저/액티비티, 캠핑, 여행정보, 플랫폼/마켓플레이스, 거래수수료, 광고/검색엔진, O2O",17
41,아키드로우_아키스케치,8.0,1.46,19,"홈리빙/펫, 부동산/건설, AI/딥테크/블록체인","부동산/건설, AI/딥테크/블록체인, 홈리빙/펫, 2022혁신의숲어워즈, 인테리어, 프롭테크, 인공지능, 3D그래픽/CG, 비전센싱/영상인식/센서, VR/AR, B2B, B2C, SaaS/엔터프라이즈, 구독, 소프트웨어, 비대면/무인시스템/Untact, 구독경제",10
42,핏펫_핏펫,126.1429,42.8857,114,"금융/보험/핀테크, 홈리빙/펫","홈리빙/펫, 금융/보험/핀테크, 아기유니콘, 예비유니콘, 펫케어/펫테크, B2C, 플랫폼/마켓플레이스, 상품판매/브랜드/하드웨어, APP, 상품/하드웨어, O2O",7
43,드라마앤컴퍼니_리멤버,166.0,12.975,175,인사/비즈니스/법률,"인사/비즈니스/법률, 구인구직/채용, 조직관리/조직문화, 비전센싱/영상인식/센서, B2B, B2C, SaaS/엔터프라이즈, APP, WEB, 콘텐츠",12
44,데일리샷_데일리샷,20.8,2.1,37,"커머스, 푸드/농업","커머스, 푸드/농업, 이커머스, 스마트오더, 리뷰, 와인, 맥주, 기타주류, B2B, B2C, 플랫폼/마켓플레이스, 상품판매/브랜드/하드웨어, APP, 상품/하드웨어, O2O",6
45,아토머스_마인드카페,37.2778,4.3556,85,"소셜미디어/커뮤니티, 헬스케어/바이오","헬스케어/바이오, 소셜미디어/커뮤니티, 디지털헬스케어, APP, WEB, 심리상담/정신건강, 커뮤니티, B2C, 플랫폼/마켓플레이스, 거래수수료, 교육/컨설팅/용역, 비대면/무인시스템/Untact, 오프라인매장",9
46,더스윙_스윙,62.65,78.3833,53,모빌리티/교통,"모빌리티/교통, 예비유니콘, 이커머스, 마이크로모빌리티, B2C, 플랫폼/마켓플레이스, 상품판매/브랜드/하드웨어, 렌탈/대여, APP, 상품/하드웨어, 공유경제/긱이코노미",6
47,핀다_핀다,71.6333,48.2222,130,"금융/보험/핀테크, AI/딥테크/블록체인","금융/보험/핀테크, AI/딥테크/블록체인, 대출, P2P, 빅데이터, B2C, 플랫폼/마켓플레이스, APP, WEB, 콘텐츠, 금융상품",9
48,문토_문토,14.4,0.2,15,소셜미디어/커뮤니티,"소셜미디어/커뮤니티, SNS, 커뮤니티, B2C, 플랫폼/마켓플레이스, APP, 여성창업",5
49,트레바리_트레바리,10.0,4.4778,30,소셜미디어/커뮤니티,"소셜미디어/커뮤니티, 커뮤니티, APP, WEB, B2C, 플랫폼/마켓플레이스, 콘텐츠, 교육/컨설팅/용역",9
50,트웰브랩스_마렝고,90.375,6.15,33,"콘텐츠/예술, AI/딥테크/블록체인","AI/딥테크/블록체인, 콘텐츠/예술, 영상/비디오, 인공지능, B2B, SaaS/엔터프라이즈, 소프트웨어, 데이터/API, 생성형AI, 검색/검색엔진, 자연어처리/텍스트마이닝",4
51,발란_발란,81.6667,99.0222,58,"커머스, 패션","커머스, 패션, 이커머스, 직구/역직구, 유통, 의류, 신발, 패션잡화, 쥬얼리, 명품/중고명품, B2C, 플랫폼/마켓플레이스, 거래수수료, APP, WEB, O2O",9
52,캐비지_어글리어스,6.3333,10.9667,28,"커머스, 푸드/농업","푸드/농업, 커머스, 어워즈1차후보, 정기구독, 배달, 신선식품, 농업, B2C, 플랫폼/마켓플레이스, 구독, 구독경제, ESG",3
53,엘박스_엘박스,48.0,1.76,50,인사/비즈니스/법률,"인사/비즈니스/법률, 법률, B2B, B2C, 클라우드, SaaS/엔터프라이즈, 구독, WEB, 데이터/API, 검색/검색엔진, 구독경제",5
54,와디즈_와디즈,200.0,68.28,312,커머스,"커머스, 예비유니콘, 이커머스, 크라우드펀딩, B2C, 플랫폼/마켓플레이스, 거래수수료, APP, WEB, O2O",5
55,가제트코리아_유심사,0.1313,1.225,34,"커머스, 통신/보안/데이터","통신/보안/데이터, 커머스, 어워즈1차후보, 팁스(TIPS)2022, 통신/네트워크/5G, 데이터, 모바일기술, 제조기술, 스마트폰, 이커머스, 리뷰, B2C, 플랫폼/마켓플레이스, 상품판매/브랜드/하드웨어, WEB, 상품/하드웨어",4
56,크몽_크몽,38.25,23.7667,147,"소셜미디어/커뮤니티, 인사/비즈니스/법률","인사/비즈니스/법률, 소셜미디어/커뮤니티, 재능공유, B2B, B2C, APP, WEB, 아웃소싱, 커뮤니티, 플랫폼/마켓플레이스, 거래수수료, 교육/컨설팅/용역, 공유경제/긱이코노미",12
57,라포랩스_퀸잇,213.75,46.25,141,"커머스, 패션","커머스, 패션, 이커머스, 시니어/실버, 큐레이션, 의류, 신발, 패션잡화, 쥬얼리, 명품/중고명품, 인공지능, 빅데이터, B2C, 여성, 플랫폼/마켓플레이스, 거래수수료, APP, O2O, 비대면/무인시스템/Untact",4
58,모요_모요,13.3333,2.9667,34,통신/보안/데이터,"통신/보안/데이터, 데이터, 통신/네트워크/5G, 플랫폼/마켓플레이스, WEB, 구독, 정기구독, B2C, 소프트웨어",3
59,에이피알_메디큐브,40.1,398.59,443,"패션, 뷰티/화장품","뷰티/화장품, 패션, 최근투자받은추천채용기업, K-유니콘, 스킨케어/클렌징, APP, WEB, 색조/메이크업, 향수, 의류, 패션잡화, 사진, B2C, 상품판매/브랜드/하드웨어, 상품/하드웨어, 오프라인매장",10
60,테사_테사,24.2,4.38,14,"커머스, 콘텐츠/예술, 금융/보험/핀테크","금융/보험/핀테크, 커머스, 콘텐츠/예술, 크라우드펀딩, 미술, 전시, 투자, 자산관리, P2P, B2C, 플랫폼/마켓플레이스, 거래수수료, APP, 콘텐츠, 금융상품, 기타DeepTech, 비대면/무인시스템/Untact, 조각투자",5
61,빌리지베이비_베이비빌리,13.0,6.05,53,"커머스, 소셜미디어/커뮤니티, 유아/출산","유아/출산, 커머스, 소셜미디어/커뮤니티, 2022혁신의숲어워즈, 유아용품, APP, WEB, 출산, 육아정보, 이커머스, 정기구독, 커뮤니티, B2C, 플랫폼/마켓플레이스, 구독, 거래수수료, 콘텐츠, 상품/하드웨어, 여성창업",6
62,인프랩_인프런,9.2857,25.1,70,"커머스, 소셜미디어/커뮤니티, 교육","교육, 커머스, 소셜미디어/커뮤니티, 성인실무교육, APP, WEB, 에듀테크, 비대면교육, 외국어, 취미교육, 커뮤니티, B2C, 플랫폼/마켓플레이스, 콘텐츠, 교육/컨설팅/용역, 비대면/무인시스템/Untact",7
63,정육각_정육각,149.625,51.8,128,"커머스, 푸드/농업","푸드/농업, 커머스, 최근투자받은추천채용기업, 아기유니콘, 예비유니콘, 신선식품, APP, WEB, 축산업, 이커머스, 유통, B2C, 플랫폼/마켓플레이스, 거래수수료",8
64,버핏서울_버핏그라운드,11.0,10.7667,80,"헬스케어/바이오, 피트니스/스포츠","피트니스/스포츠, 헬스케어/바이오, 홈트레이닝, PT/피트니스, 스포츠/운동, B2C, 상품판매/브랜드/하드웨어, 기타서비스, 오프라인매장",6
65,인플루디오_포카마켓,8.0,2.425,85,"커머스, 콘텐츠/예술, 소셜미디어/커뮤니티","커머스, 콘텐츠/예술, 소셜미디어/커뮤니티, 어워즈1차후보, APP, WEB, 한류/K-pop, 연예인, 이커머스, 중고, 메세지, B2C, 플랫폼/마켓플레이스, O2O, 중고거래/중고명품, 한류/K-POP/K-Contents",4
66,쏘카_쏘카,453.1692,305.8154,432,"커머스, 모빌리티/교통","모빌리티/교통, 커머스, K-유니콘, 카쉐어링/차량공유, B2B, B2C, 렌탈/대여, APP, 공유경제/긱이코노미",13
67,번개장터_번개장터,106.1538,23.4385,184,"커머스, 소셜미디어/커뮤니티","소셜미디어/커뮤니티, 커머스, 중고, 커뮤니티, B2C, 플랫폼/마켓플레이스, 광고, APP, WEB, 중고거래/중고명품, 리셀",13
68,젠테_젠테스토어,25.0,77.375,74,"커머스, 패션","커머스, 패션, 2023혁신의숲어워즈, 이커머스, 의류, 패션잡화, 신발, 명품/중고명품,  B2C, 플랫폼/마켓플레이스, WEB, O2O",4
69,트래블월렛_트래블월렛,67.0,3.8143,86,금융/보험/핀테크,"금융/보험/핀테크, 아기유니콘, 송금, 외환/환전,  B2B, B2C, 플랫폼/마켓플레이스, 거래수수료, APP, 소프트웨어",7
70,여기어때_여기어떄,92.2222,339.8556,579,여행/레저,"여행정보,레저/액티비티,B2B,B2C,플랫폼/마켓플레이스,APP,WEB,O2O",9
71,키노라이츠_키노라이츠,8.0,1.6833,32,콘텐츠/예술,"영화,드라마,애니메이션,OTT,인공지능,빅데이터,B2C,플랫폼/마켓플레이스,광고,APP,WEB,데이터/ API,스트리밍",6
72,뉴빌리티_뉴비,39.2143,0.2429,108,제조/하드웨어,"로봇,지도/네비게이션/GPS,GIS/지리정보,자율주행,인공지능,B2C,상품판매/브랜드/하드웨어,소프트웨어",7
73,클라썸_클라썸,37.0,1.55,64,교육,"영상/비디오,비대면교육,인공지능,B2B,B2C,콘텐츠,교육/컨설팅/용역,여성창업,에듀테크",6
74,크리에이트립_크리에이트립,18.875,6.7375,60,여행/레저,"숙박,여행정보,레저/액티비티,B2B,B2C,광고,APP,WEB,여성창업",8
75,리디_리디,240.9375,138.1563,470,콘텐츠/예술,"정기구독,웹툰/만화,B2C,플랫폼/마켓플레이스,구독,APP,WEB,콘텐츠,구독경제,웹소설",16
76,아임웹_아임웹,12.5,21.0875,109,콘텐츠/예술,"디자인,B2B,B2C,플랫폼/마켓플레이스,SaaS/엔터프라이즈,WEB,소프트웨어,콘텐츠,교육/컨설팅/용역",8
77,하이어다이버시티_하이어다이버시티,2.5,3.275,16,인사/비즈니스/법률,"외국어,구인구직/채용,B2C,플랫폼/마켓플레이스,WEB,교육/컨설팅/용역",4
78,데이원컴퍼니_패스트캠퍼스,123.5714,148.7,478,"콘텐츠/예술,교육","영상/비디오,성인실무교육,비대면교육,B2C,플랫폼/마켓플레이스,거래수수료,WEB,콘텐츠,교육/컨설팅/용역,비대면/무인시스템/Untact,에듀테크",7
79,한국신용데이터_캐시노트,274.775,69.95,175,"금융/보험/핀테크,인사/비지니스/법률","조직관리/조직문화,세무,회계,경리/경영관리,소상공인,빅데이터,B2B,플랫폼/마켓플레이스,SaaS/엔터프라이즈,APP,교육/컨설팅/용역,O2O",8
80,다비오_다비오맵,19.5833,2.5417,57,"모빌리티/교통,부동산/건설","지도/네비게이션/GPS,GIS/지리정보,공간정보,드론,설계,스마트시티,프롭테크,인공지능,3D그래픽/CG,비전센싱/영상인식/센서,B2C,SaaS/엔터프라이즈,용역,WEB,소프트웨어,교육/컨설팅/용역,데이터/API",12
81,스테이폴리오_스테이폴리오,12.2222,5.1111,39,"커머스,패션","숙박,여행정보,B2C,플랫폼/마켓플레이스,APP,WEB,O2O",9
82,비즈플레이_비즈플레이,3.3,22.55,147,인사/비즈니스/법률,"화상회의/리모트워크/원격,세무,회계,경리/경영관리,문서작성,B2B,SaaS/엔터프라이즈,APP,데이터/API,비대면/무인시스템/Untact,코로나",10
83,뉴넥스_브랜디,133.9,119.13,159,"커머스,패션","이커머스,리뷰,풀필먼트,의류,신발,패션잡화,쥬얼리,패션테크,B2C,플랫폼/마켓플레이스,광고,거래수수료,APP,상품/하드웨어",10
84,코드잇_코드잇,20.0,4.3,76,교육,"성인실무교육,비대면교육,프로그래밍개발,기타기술,B2B,B2C,플랫폼/마켓플레이스,WEB,교육/컨설팅/용역,비대면/무인시스템/Untact,에듀테크,코딩",7
85,트렌비_트렌비,107.1429,126.0,73,"커머스,패션","이커머스,직구/역직구,풀필먼트,의류,신발,패션잡화,명품/중고명품,패션테크,인공지능,B2C,플랫폼/마켓플레이스,APP,WEB,O2O,비대면/무인시스템/Untact",7
86,자란다_자란다부모님용,55.875,11.375,71,교육,"초등교육,유아교육,선생님,B2C,플랫폼/마켓플레이스,구독,APP,WEB,교육/컨설팅/용역",8
87,프리윌린_매쓰플랫,17.1429,13.0429,114,"교육,AI/딥테크/블록체인","수학,청소년교육,선생님,인공지능,빅데이터,B2C,APP,WEB,비대면/무인시스템/Untact,에듀테크",7
88,링글잉글리시에듀케이션서비스_링글,24.3333,10.5111,52,교육,"영어,비대면교육,선생님,B2C,플랫폼/마켓플레이스,용역,APP,WEB,교육/컨설팅/용역,비대면/무인시스템/Untact,에듀테크",9
89,비즈니스캔버스_타입드,30.625,1511.7,31,인사/비즈니스/법률,"협업툴/생산성,B2B,B2C,SaaS/엔터프라이즈,구독,WEB,상품/하드웨어,공간,구독경제",4
90,뤼이드_산타,284.4,5.67,95,"교육,AI/딥테크/블록체인","영어,외국어,인공지능,딥러닝/머신러닝,B2C,플랫폼/마켓플레이스,구독,APP,콘텐츠,O2O,비대면/무인시스템/Untact,에듀테크",10
91,크림_크림,976.5,114.875,174,"커머스,패션","이커머스,중고,의류,신발,패션잡화,중고패션,명품/중고명품,B2C,플랫폼/마켓플레이스,거래수수료,APP,WEB,중고거래/중고명품,리셀",4
92,메라키플레이스_나만의닥터,25.6667,0.6,21,"물류,헬스케어/바이오","배송,디지털헬스케어,바이오/의료,원격진료,병원정보,B2B,B2C,플랫폼/마켓플레이스,APP,상품/하드웨어,비대면/무인시스템/Untact",3
93,두나무_업비트,605.4167,1000.0,597,금융/보험/핀테크,"투자,주식/증권,B2C,플랫폼/마켓플레이스,거래수수료,APP,WEB,금융상품,기타DeepTech",12
94,윙잇_윙잇,22.4444,45.6889,40,"커머스,푸드/농업","이커머스,간편식/HMR,반찬,신선식품,디저트,가공식품,B2C,플랫폼/마켓플레이스,APP,WEB",9
95,데이터노우즈_리치고,25.26,1.36,26,"금융/보험/핀테크,부동산/건설,AI/딥테크/블록체인","자산관리,재테크,로보어드바이저/퀀트,프롭테크,상권분석,인공지능,빅데이터,B2B,B2C,SaaS/엔터프라이즈,APP,WEB,교육/컨설팅/용역,데이터/API",5
96,넛지헬스케어_캐시워크,37.5,76.6375,212,"콘텐츠/예술,헬스케어/바이오,광고/마케팅","디지털헬스케어,스포츠/운동,리워드,B2C,플랫폼/마켓플레이스,광고,APP,콘텐츠",8
97,생활연구소_청소연구소,44.375,12.1,89,홈리빙/펫,"청소,B2C,플랫폼/마켓플레이스,용역,APP,교육/컨설팀/용역",8
98,패러닷_캐럿,6.6667,0.0992,7,"콘텐츠/예술,AI/딥테크/블록체인","영상/비디오,사진,B2C,플랫폼/마켓플레이스,거래수수료,APP,콘텐츠",3
99,콜버스랩_자리톡,3.5556,1.4556,18,"모빌리티/교통,부동산/건설","카쉐어링/차량공유,대중교통,부동산중개,임대,B2B,B2C,렌탈/대여,APP,WEB,상품/하드웨어,공유경제/긱이코노미",9
100,스푼라디오_스푼,83.75,55.5,115,"콘텐츠/예술,소셜미디어/커뮤니티","라디오,커뮤니티,B2C,플랫폼/마켓플레이스,거래수수료,APP,WEB,콘텐츠,스트리밍",8
101,시제_모노리스,8.6667,0.2475,13,"통신/보안/데이터,AI/딥테크/블록체인","물류솔루션,SCN,의류,패션잡화,스마트팩토리,데이터,인공지능,B2B,SaaS/엔터프라이즈,WEB,소프트웨어",3
102,직방_직방,259.6429,63.0643,281,부동산/건설,"부동산중개,프롭테크,상권분석,B2B,B2C,플랫폼/마켓플레이스,광고,APP,WEB,O2O",14
103,퍼블리_퍼블리,20.3333,3.9444,33,"콘텐츠/예술,소셜미디어/커뮤니티,교육","커뮤니티,성인실무교육,비대면교육,B2C,플랫폼/마켓플레이스,구독,APP,WEB,콘텐츠,교육/컨설팅/용역,비대면/무인시스템/Untact,구독경제,여성창업,에듀테크,",9
104,버즈빌_버즈빌,30.4167,85.8667,100,광고/마케팅,"애드테크,B2B,플랫폼/마켓플레이스,광고,APP,교육/컨설팅/용역",12
105,지바이크_지쿠,17.0,74.5714,345,모빌리티/교통,"마이크로모빌리티,B2C,렌탈/대여,APP,상품/하드웨어,공유경제/긱이코노미",7
106,네오사피엔스_타입캐스트,45.4286,3.3429,74,"콘텐츠/예술,AI/딥테크/블록체인","미디어,인공지능,딥러닝/머신러닝,자연어처리/텍스트마이닝,B2B,B2C,WEB,콘텐츠,한류/K-POP/K-Contents,생성형 AI",7
107,브레인커머스_잡플래닛,9.4167,9.7333,127,"소셜미디어/커뮤니티,인사/비즈니스/법률,AI/딥테크/블록체인","커뮤니티,구인구직/채용,빅데이터,B2B,B2C,플랫폼/마켓플레이스,APP,WEB,데이터/API",12
108,루센트블록_소유,53.3333,0.9333,43,"금융/보험/핀테크,부동산/건설,AI/딥테크/블록체인","투자,주식/증권,거래소,재테크,프롭테크,블록체인기술,B2C,플랫폼/마켓플레이스,거래수수료,금융상품,기타DeepTech,조각투자",6
109,슈퍼브에이아이_슈퍼브에이아이,58.25,3.8,50,"통신/보안/데이터,AI/딥테크/블록체인","데이터,인터넷기술,프로그래밍개발,인공지능,딥러닝/머신러닝,B2B,B2C,SaaS/엔터프라이즈,구독,소프트웨어,데이터/API,구독경제",6
