,기업명,누적투자금액,매출,고용인원,카테고리,키워드,설립년도
242,스켈터랩스_스켈터랩스,36.7778,0.7444,50,"광고/마케팅, 통신/보안/데이터, AI/딥테크/블록체인","광고/마케팅, 통신/보안/데이터, AI/딥테크/블록체인, 챗봇, 생성형AI, 프로그래밍개발, 마케팅솔루션, 소비자조사, 인공지능, 딥러닝/머신러닝, B2B, SaaS/엔터프라이즈, 용역, 교육/컨설팅/용역, 데이터/API, 소프트웨어",9
243,클로봇,40.1429,10.2,137,AI/딥테크/블록체인,"AI/딥테크/블록체인, 로봇, 인공지능, 딥러닝/머신러닝, B2B, SaaS/엔터프라이즈, 상품판매/브랜드/하드웨어, 용역, 상품/하드웨어, 소프트웨어, 교육/컨설팅/용역",7
244,부릉_부릉프렌즈,120.0,349.8545,195,물류,"물류, 예비유니콘, 배송대행, 풀필먼트, 라스트마일, 배달, 인공지능, 빅데이터, B2B, 용역, 교육/컨설팅/용역",11
245,루먼랩_굿비기닝,10.0,0.5,9,"헬스케어/바이오, 유아/출산","헬스케어/바이오, 유아/출산, 디지털헬스케어, 진단/검사, 육아정보, B2C, 플랫폼/마켓플레이스, APP, 인공지능",3
246,프레시지_프레시지,380.0,662.2375,354,"커머스, 푸드/농업","커머스, 푸드/농업, 예비유니콘, 밀키트, 간편식/HMR, 대체육, 신선식품, 가공식품, 이커머스, 정기구독, 배송, B2C, 플랫폼/마켓플레이스, 상품판매/브랜드/하드웨어, WEB, 상품/하드웨;어",8
247,한국시니어연구소_한국시니어연구소,30.75,1.375,13,헬스케어/바이오,"헬스케어/바이오, 요양, 간호, B2C, 시니어/실버, 플랫폼/마켓플레이스, 용역, WEB, 교육/컨설팅/용역, O2O",4
248,중고나라_중고나라,18.1818,9.1818,121,커머스,"커머스, 이커머스, 중고, B2C, 플랫폼/마켓플레이스, APP, WEB, 중고거래/중고명품, O2O, 리셀",11
249,스파크펫_놀로스퀘어,20.0,12.32,39,"커머스, 홈리빙/펫","커머스, 홈리빙/펫, 펫케어/펫테크, 펫용품, 사료, 동물병원/수의사, 이커머스, B2C, 플랫폼/마켓플레이스, WEB, 상품/하드웨어, 콘텐츠, 오프라인매장, O2O",5
250,오피지지_OP.GG,11.6667,15.2556,76,"소셜미디어/커뮤니티, 게임","소셜미디어/커뮤니티, 게임, 커뮤니티, LOL, B2C, 플랫폼/마켓플레이스, 광고, API, WEB, 콘텐츠, 코로나",9
251,앤스페이스_스페이스클라우드,1.5455,2.6818,26,"부동산/건설, AI/딥테크/블록체인","부동산/건설, AI/딥테크/블록체인, WEB, APP, 프롭테크, 여성창업, 검색/검색엔진, B2C, 플랫폼/마켓플레이스, 데이터/API, O2O",11
252,토스뱅크_토스뱅크,3250.0,1888.55,532,금융/보험/핀테크,"금융/보험/핀테크, 결제/페이먼트, 대출, 송금, 외환/환전, 은행, B2C, 거래수수료, APP",4
