Node,Community
이그니스_에잇템,1
몰로코_몰로코,0
허그램_티그램,0
포스타입_포스타입,4
코드박스_ZUZU,0
딥브레인에이아이_스픽나우,0
놀이의발견_놀이의발견,2
드림에이스,2
에이비일팔공,0
레몬트리_퍼핀,2
패스트뷰_뷰어스,1
패스트파이브_패스트파이브,2
케어네이션_케어네이션,3
모드하우스_모드하우스,4
제제미미_쑥쑥찰칵,4
어웨이크코퍼레이션_초원인,0
스켈터랩스_스켈터랩스,0
클로봇,0
부릉_부릉프렌즈,2
루먼랩_굿비기닝,3
프레시지_프레시지,1
한국시니어연구소_한국시니어연구소,3
중고나라_중고나라,1
스파크펫_놀로스퀘어,1
오피지지_OP.GG,4
앤스페이스_스페이스클라우드,0
토스뱅크_토스뱅크,2
라프텔_라프텔,1
센트비_센트비,2
에이젠글로벌_에이젠글로벌,0
어반베이스_어반베이스,1
튜닙,0
마드라체크_플로우,2
컨텍터스_둥지,0
피스피스스튜디오_마르디메크르디,1
스마트푸드네트웍스_차별화상회,2
엔젤스윙_엔젤스윙,2
타인에이아이_오르락,4
온더룩_온더룩,4
코멘토_코멘토,4
티맵모빌리티_티맵,2
쉐어잇_쉐어잇,2
팀프레시_팀프레시,1
타이드스퀘어_투어비스,1
작당모의_잼페이스,0
쿠캣_쿠캣,1
드림어스컴퍼니_FLO,1
비프로컴퍼니_비프로11,0
구름_구름EDU,2
뉴로핏,0
테크타카_아르고,2
한패스_한패스,2
누트컴퍼니_위버딩,1
인덴트코퍼레이션_브이리뷰,0
르보아르테_롸버트치킨,1
스캐터랩_연애의과학,4
엑스와이지,0
마이프랜차이즈_마이프차,0
밸류맵_밸류맵,2
센드버드코리아_센드버드,4
코드스테이츠_코드스테이츠,0
글라우드_저스트스캔,3
랜식_글루코핏,3
센디_센디,2
피처링_피처링,0
토스페이먼츠_토스비즈니스,2
셀렉트스타_캐시미션,0
블루시그넘_하루콩,3
벙커키즈_마이쉽단,3
수퍼톤_고요,0
테일러타운_댄블,1
이팝소프트_말해보카,2
퀄슨_리얼클래스,0
아들러_아들러,0
한국공간데이터_클리니어,0
룰루메딕_룰루메딕,3
플랭_플랭,0
백퍼센트_충전돼지,0
킥더허들_피토틱스,1
지에프에프치_노티드,1
트릿지_트릿지,1
루닛_루닛 인사이트 CXR,0
스페이스오디티_케이팝레이더,4
더자람컴퍼니_그로우앤베터,2
샤플앤컴퍼니_샤플,2
라이드플럭스,0
탑코_탑툰,4
먼치팩토리_아워플레이스,4
카카오뱅크_카카오뱅크,2
와탭랩스,2
스팬딧,2
코리아포트원_포트원,1
엔씽,1
어스얼라이언스_탄탄셀렉트(차이나탄),4
베어로보틱스_서비,0
그레이드헬스체인_로그,0
솔닥_솔닥,3
그로비교육_슈퍼브이,2
에이아이포펫_티티케어,0
오니스트_오니스트,1
마인딩_마이루틴,3
