Node,Betweenness
마인이스_차란,0.684034863945578
쏘카_쏘카,0.016156462585034014
버킷플레이스_오늘의집,0.016156462585034014
트릿지_트릿지,0.009289965986394559
컬리_컬리,0.009289965986394559
딜리셔스_신상마켓,0.009289965986394559
우아한형제들_배달의민족,0.009289965986394559
안다르_안다르,0.008078231292517007
파스토_파스토,0.005952380952380952
핏펫_핏펫,0.00510204081632653
데이원컴퍼니_패스트캠퍼스,0.0017006802721088435
프레시지_프레시지,0.0013818027210884354
정육각_정육각,0.0013818027210884354
오아시스_오아시스마켓,0.0013818027210884354
팀프레시_팀프레시,0.0012755102040816326
패스트파이브_패스트파이브,0.0
오케스트로_심포니 인공지능,0.0
직방_직방,0.0
피스피스스튜디오_마르디메크르디,0.0
와디즈_와디즈,0.0
쿠팡_쿠팡,0.0
트렌비_트렌비,0.0
의식주컴퍼니_런드리고,0.0
베어로보틱스_서비,0.0
라포랩스_퀸잇,0.0
발란_발란,0.0
레진엔터테인먼트_레진코믹스,0.0
더스윙_스윙,0.0
뉴넥스_브랜디,0.0
스마트푸드네트웍스_차별화상회,0.0
여기어때_여기어떄,0.0
한국신용데이터_캐시노트,0.0
토스뱅크_토스뱅크,0.0
비바리퍼블리카_토스,0.0
토스페이먼츠_토스비즈니스,0.0
티맵모빌리티_티맵,0.0
두나무_업비트,0.0
하이브,0.0
무신사_무신사,0.0
야놀자_야놀자,0.0
크림_크림,0.0
스마트스코어_스마트스코어,0.0
에이블리코퍼레이션_에이블리,0.0
그로비교육_슈퍼브이,0.0
리디_리디,0.0
부릉_부릉프렌즈,0.0
몰로코_몰로코,0.0
카카오뱅크_카카오뱅크,0.0
카카오브이엑스_카카오골프예약,0.0
밀리의서재_밀리의서재,0.0
