Node,Community
쿠팡_쿠팡,0
카카오뱅크_카카오뱅크,1
토스뱅크_토스뱅크,1
컬리_컬리,0
비바리퍼블리카_토스,1
토스페이먼츠_토스비즈니스,1
티맵모빌리티_티맵,3
두나무_업비트,1
하이브,3
우아한형제들_배달의민족,0
무신사_무신사,0
프레시지_프레시지,0
야놀자_야놀자,3
팀프레시_팀프레시,2
쏘카_쏘카,0
크림_크림,0
버킷플레이스_오늘의집,0
스마트스코어_스마트스코어,3
에이블리코퍼레이션_에이블리,0
그로비교육_슈퍼브이,3
리디_리디,3
부릉_부릉프렌즈,2
몰로코_몰로코,3
딜리셔스_신상마켓,0
트릿지_트릿지,0
스마트푸드네트웍스_차별화상회,2
카카오브이엑스_카카오골프예약,2
오아시스_오아시스마켓,0
한국신용데이터_캐시노트,1
여기어때_여기어떄,3
데이원컴퍼니_패스트캠퍼스,3
뉴넥스_브랜디,0
직방_직방,3
패스트파이브_패스트파이브,3
피스피스스튜디오_마르디메크르디,0
와디즈_와디즈,0
오케스트로_심포니 인공지능,3
트렌비_트렌비,0
의식주컴퍼니_런드리고,1
안다르_안다르,0
마인이스_차란,3
베어로보틱스_서비,2
파스토_파스토,2
라포랩스_퀸잇,0
발란_발란,0
정육각_정육각,0
핏펫_핏펫,1
레진엔터테인먼트_레진코믹스,3
더스윙_스윙,3
밀리의서재_밀리의서재,3
