Node,Closeness
마인이스_차란,1.0
딜리셔스_신상마켓,0.6621621621621622
우아한형제들_배달의민족,0.6621621621621622
컬리_컬리,0.6621621621621622
트릿지_트릿지,0.6621621621621622
버킷플레이스_오늘의집,0.6447368421052632
쏘카_쏘카,0.6447368421052632
오아시스_오아시스마켓,0.6363636363636364
프레시지_프레시지,0.6363636363636364
안다르_안다르,0.6363636363636364
정육각_정육각,0.6363636363636364
무신사_무신사,0.6282051282051282
라포랩스_퀸잇,0.6282051282051282
발란_발란,0.6282051282051282
크림_크림,0.6282051282051282
트렌비_트렌비,0.6282051282051282
에이블리코퍼레이션_에이블리,0.6282051282051282
와디즈_와디즈,0.6282051282051282
피스피스스튜디오_마르디메크르디,0.6282051282051282
뉴넥스_브랜디,0.6282051282051282
쿠팡_쿠팡,0.6282051282051282
팀프레시_팀프레시,0.5632183908045977
파스토_파스토,0.5568181818181818
핏펫_핏펫,0.550561797752809
스마트푸드네트웍스_차별화상회,0.5444444444444444
부릉_부릉프렌즈,0.5444444444444444
카카오뱅크_카카오뱅크,0.5384615384615384
한국신용데이터_캐시노트,0.5384615384615384
토스뱅크_토스뱅크,0.5384615384615384
비바리퍼블리카_토스,0.5384615384615384
토스페이먼츠_토스비즈니스,0.5384615384615384
두나무_업비트,0.5384615384615384
데이원컴퍼니_패스트캠퍼스,0.532608695652174
하이브,0.5268817204301075
레진엔터테인먼트_레진코믹스,0.5268817204301075
밀리의서재_밀리의서재,0.5268817204301075
리디_리디,0.5268817204301075
카카오브이엑스_카카오골프예약,0.5157894736842106
의식주컴퍼니_런드리고,0.5157894736842106
베어로보틱스_서비,0.5157894736842106
티맵모빌리티_티맵,0.5157894736842106
더스윙_스윙,0.5157894736842106
야놀자_야놀자,0.5104166666666666
그로비교육_슈퍼브이,0.5104166666666666
패스트파이브_패스트파이브,0.5104166666666666
직방_직방,0.5104166666666666
여기어때_여기어떄,0.5104166666666666
스마트스코어_스마트스코어,0.5104166666666666
오케스트로_심포니 인공지능,0.5051546391752577
몰로코_몰로코,0.5051546391752577
