Node,Degree
마인이스_차란,0.9999999999999999
딜리셔스_신상마켓,0.4897959183673469
우아한형제들_배달의민족,0.4897959183673469
컬리_컬리,0.4897959183673469
트릿지_트릿지,0.4897959183673469
버킷플레이스_오늘의집,0.44897959183673464
쏘카_쏘카,0.44897959183673464
오아시스_오아시스마켓,0.42857142857142855
프레시지_프레시지,0.42857142857142855
안다르_안다르,0.42857142857142855
정육각_정육각,0.42857142857142855
무신사_무신사,0.4081632653061224
라포랩스_퀸잇,0.4081632653061224
발란_발란,0.4081632653061224
크림_크림,0.4081632653061224
트렌비_트렌비,0.4081632653061224
에이블리코퍼레이션_에이블리,0.4081632653061224
와디즈_와디즈,0.4081632653061224
피스피스스튜디오_마르디메크르디,0.4081632653061224
뉴넥스_브랜디,0.4081632653061224
쿠팡_쿠팡,0.4081632653061224
팀프레시_팀프레시,0.22448979591836732
파스토_파스토,0.2040816326530612
핏펫_핏펫,0.18367346938775508
스마트푸드네트웍스_차별화상회,0.16326530612244897
부릉_부릉프렌즈,0.16326530612244897
카카오뱅크_카카오뱅크,0.14285714285714285
한국신용데이터_캐시노트,0.14285714285714285
토스뱅크_토스뱅크,0.14285714285714285
비바리퍼블리카_토스,0.14285714285714285
토스페이먼츠_토스비즈니스,0.14285714285714285
두나무_업비트,0.14285714285714285
데이원컴퍼니_패스트캠퍼스,0.12244897959183673
하이브,0.1020408163265306
레진엔터테인먼트_레진코믹스,0.1020408163265306
밀리의서재_밀리의서재,0.1020408163265306
리디_리디,0.1020408163265306
카카오브이엑스_카카오골프예약,0.061224489795918366
의식주컴퍼니_런드리고,0.061224489795918366
베어로보틱스_서비,0.061224489795918366
티맵모빌리티_티맵,0.061224489795918366
더스윙_스윙,0.061224489795918366
야놀자_야놀자,0.04081632653061224
그로비교육_슈퍼브이,0.04081632653061224
패스트파이브_패스트파이브,0.04081632653061224
직방_직방,0.04081632653061224
여기어때_여기어떄,0.04081632653061224
스마트스코어_스마트스코어,0.04081632653061224
오케스트로_심포니 인공지능,0.02040816326530612
몰로코_몰로코,0.02040816326530612
